City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,alofi,-19.0595,-169.9187,296.09,88,100,4.12,NU,1715239884
332,tokuyama,34.05,131.8167,291.94,45,0,1.85,JP,1715239884
333,ulsteinvik,62.3432,5.8487,284.81,88,100,4.02,NO,1715239884
334,domna,51.8971,113.1573,293.47,15,100,5.0,RU,1715239884
335,saint-pierre,-21.3393,55.4781,300.97,57,0,13.38,RE,1715239885
336,impfondo,1.6381,18.0667,298.62,82,100,0.72,CG,1715239885
337,san-pedro,4.7485,-6.6363,301.38,82,100,1.19,CI,1715239885
338,apolinario saravia,-24.4328,-63.9954,288.29,53,99,3.54,AR,1715239885
339,fisterra,42.9049,-9.2629,289.35,73,100,1.06,ES,1715239885
340,kalevala,65.2,31.1667,270.42,91,95,1.79,RU,1715239885
341,susuman,62.7833,148.1667,275.36,68,55,0.45,RU,1715239886
342,chaiyaphum,15.75,102.0,308.04,32,97,3.33,TH,1715239886
343,richards bay,-28.783,32.0377,298.83,58,0,3.64,ZA,1715239886
344,namibe,-15.1961,12.1522,299.9,54,70,3.01,AO,1715239886
345,santa ines,-3.6667,-45.38,296.38,97,8,1.3,BR,1715239886
346,gisborne,-38.6533,178.0042,284.06,66,97,10.98,NZ,1715239887
347,masallatah,32.6167,14.0,290.76,58,8,9.03,LY,1715239887
348,oranjemund,-28.55,16.4333,288.98,78,0,5.23,NA,1715239887
349,tafuna,-14.3358,-170.72,301.12,83,75,1.54,AS,1715239887
350,daru,-9.0763,143.2092,299.08,91,100,8.14,PG,1715239887
351,lensk,60.7253,114.9278,280.37,42,100,3.06,RU,1715239888
352,cabo san lucas,22.8909,-109.9124,296.82,47,23,6.26,MX,1715239829
353,calimesa,33.9882,-117.053,288.19,79,0,0.45,US,1715239888
354,morant bay,17.8815,-76.4093,300.94,87,16,2.9,JM,1715239888
355,kapuskasing,49.4169,-82.4331,278.2,75,100,3.6,CA,1715239712
356,tome acu,-2.4189,-48.1522,296.24,99,69,0.43,BR,1715239888
357,sitka,57.0531,-135.33,278.01,95,100,3.89,US,1715239888
358,nicoya,10.1483,-85.452,299.02,90,100,1.13,CR,1715239889
359,yuzhno-kurilsk,44.0306,145.8556,276.14,95,81,3.03,RU,1715239889
360,kribi,2.95,9.9167,298.13,85,100,2.08,CM,1715239889
